"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","County"
"11","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95600001","Sample-Routine","Water","Surface Water","1956-09-06","","","","","",NA,"","",NA,"",NA,"","","","USGS-04147500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",16,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"12","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400008","Sample-Routine","Water","Surface Water","1954-03-26","13:45:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04147990","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",6.8,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"13","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400006","Sample-Routine","Water","Surface Water","1953-12-15","13:50:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04147990","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",6,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"14","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400009","Sample-Routine","Water","Surface Water","1953-12-15","15:55:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148139","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",70,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"15","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400010","Sample-Routine","Water","Surface Water","1954-03-26","10:45:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148139","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",11,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"16","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700196","Sample-Routine","Water","Surface Water","1967-03-27","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148140","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",22,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"17","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700197","Sample-Routine","Water","Surface Water","1967-08-07","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148140","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",30,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"18","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400011","Sample-Routine","Water","Surface Water","1953-12-15","15:10:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148142","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",14,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"19","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400012","Sample-Routine","Water","Surface Water","1954-03-26","12:15:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148142","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",11,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"20","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900006","Sample-Routine","Water","Surface Water","1959-04-02","17:00:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148142","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",16,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"21","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400015","Sample-Routine","Water","Surface Water","1953-12-15","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148270","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",64,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"22","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400016","Sample-Routine","Water","Surface Water","1954-03-26","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148270","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",11,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"23","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900008","Sample-Routine","Water","Surface Water","1959-04-01","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148300","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",22,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"24","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400018","Sample-Routine","Water","Surface Water","1954-03-27","10:20:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148300","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",10,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"25","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400017","Sample-Routine","Water","Surface Water","1953-12-15","11:00:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148300","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",21,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"26","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900007","Sample-Routine","Water","Surface Water","1959-04-01","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148450","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",26,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"27","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400013","Sample-Routine","Water","Surface Water","1953-12-15","12:10:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148450","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",12,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"28","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400014","Sample-Routine","Water","Surface Water","1954-03-26","15:15:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148450","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",12,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"29","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95900010","Sample-Routine","Water","Surface Water","1959-04-02","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",20,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"30","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400022","Sample-Routine","Water","Surface Water","1954-03-27","13:00:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",14,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"31","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400019","Sample-Routine","Water","Surface Water","1953-12-15","14:45:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",28,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"32","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700204","Sample-Routine","Water","Surface Water","1967-04-18","14:50:00","EST","","","",NA,"","",NA,"",NA,"","","","USGS-04148500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",24,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"33","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96700205","Sample-Routine","Water","Surface Water","1967-08-06","","","","","",NA,"","",NA,"",NA,"","","","USGS-04148500","","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",94,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"34","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98700115","Sample-Routine","Water","Groundwater","1987-06-02","09:00:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-424841083465301","","Sand and Gravel","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",29,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"ADF02","USGS","Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155","","","","",NA,"","","NWIS","Genesee"
"35","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98700116","Sample-Routine","Water","Groundwater","1987-06-02","10:00:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-424848083470701","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",13,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"ADF02","USGS","Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155","","","","",NA,"","","NWIS","Genesee"
"36","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98600522","Sample-Routine","Water","Groundwater","1986-08-28","14:00:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-425541083373001","","Marshall Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",150,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"37","USGS-MI","USGS Michigan Water Science Center","nwismi.01.97501105","Sample-Routine","Water","Groundwater","1975-06-23","12:30:00","EDT","","","",NA,"","",NA,"",NA,"","","","USGS-425552083382801","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",1.7,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"38","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98500478","Sample-Routine","Water","Groundwater","1984-11-30","12:00:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-425552083382801","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",3,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"39","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98700117","Sample-Routine","Water","Groundwater","1987-06-02","11:30:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-425556083315301","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",22,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"ADF02","USGS","Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155","","","","",NA,"","","NWIS","Genesee"
"40","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98800195","Sample-Routine","Water","Groundwater","1988-06-15","11:00:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-430103083490301","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",110,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"CL031","USGS","Chloride, wf, ASF thiocyanate","USGS TWRI 5-A1/1989, p 151","","","","",NA,"","","NWIS","Genesee"
"41","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98600573","Sample-Routine","Water","Groundwater","1986-08-14","13:00:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-430141083302801","","Michigan Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",130,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"42","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95500025","Sample-Routine","Water","Groundwater","1955-03-11","","","","","",NA,"","",NA,"",NA,"","","","USGS-430402083495301","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",460,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"43","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400046","Sample-Routine","Water","Groundwater","1954-03-11","","","","","",NA,"","",NA,"",NA,"","","","USGS-430402083495301","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",260,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"44","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400047","Sample-Routine","Water","Groundwater","1954-09-27","","","","","",NA,"","",NA,"",NA,"","","","USGS-430402083495301","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",425,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"45","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95300038","Sample-Routine","Water","Groundwater","1953-03-29","","","","","",NA,"","",NA,"",NA,"","","","USGS-430420083493001","","Pleistocene Series","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",21,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"46","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95300037","Sample-Routine","Water","Groundwater","1953-03-27","","","","","",NA,"","",NA,"",NA,"","","","USGS-430420083493001","","Pleistocene Series","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",19,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"47","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400052","Sample-Routine","Water","Groundwater","1954-03-11","","","","","",NA,"","",NA,"",NA,"","","","USGS-430530083420801","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",328,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"48","USGS-MI","USGS Michigan Water Science Center","nwismi.01.98700118","Sample-Routine","Water","Groundwater","1987-06-03","12:20:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-430540083332001","","Sand and Gravel","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",10,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"ADF02","USGS","Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155","","","","",NA,"","","NWIS","Genesee"
"49","USGS-MI","USGS Michigan Water Science Center","nwismi.01.96900398","Sample-Routine","Water","Groundwater","1969-09-30","","","","","",NA,"","",NA,"",NA,"","","","USGS-430621083513701","","Pleistocene Series","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",26,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"50","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95500031","Sample-Routine","Water","Groundwater","1955-03-10","","","","","",NA,"","",NA,"",NA,"","","","USGS-430627083414201","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",4.2,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"51","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400053","Sample-Routine","Water","Groundwater","1954-03-11","","","","","",NA,"","",NA,"",NA,"","","","USGS-430627083414201","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",3.1,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
"52","USGS-MI","USGS Michigan Water Science Center","nwismi.01.95400054","Sample-Routine","Water","Groundwater","1954-09-16","","","","","",NA,"","",NA,"",NA,"","","","USGS-430627083414201","","Saginaw Formation","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",14,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","","","","",NA,"","","NWIS","Genesee"
