"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Organization_Formal_Name","Organization_Identifier","Monitoring_Location_Name","Monitoring_Location_Type_Name","Monitoring_Location_Description_Text","HUC_Eight_Digit_Code"
"27","USGS-04044765",52.5,99,1980-05-07,2,-86.4390539,46.5482861,"CHAPEL CREEK NR MELSTRAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","CHAPEL CREEK NR MELSTRAND, MI","Stream","",4020201
"28","USGS-04044766",9,13,1980-05-07,2,-86.4107206,46.5574543,"SPRAY CREEK NR MELSTRAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SPRAY CREEK NR MELSTRAND, MI","Stream","",4020201
"29","USGS-04044770",5,8,1981-10-20,2,-86.3507209,46.5774574,"BEAVER CREEK NR MELSTRAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","BEAVER CREEK NR MELSTRAND, MI","Stream","",4020201
"30","USGS-04044775",9,18,1981-10-20,3,-86.2587778,46.6207957,"SEVENMILE CREEK NR GRAND MARAIS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SEVENMILE CREEK NR GRAND MARAIS, MI","Stream","",4020201
"31","USGS-04044782",21.6666666666667,53,1981-10-21,3,-86.184056,46.6552444,"SULLIVAN CREEK NR GRAND MARAIS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SULLIVAN CREEK NR GRAND MARAIS, MI","Stream","",4020201
"32","USGS-04044785",9.5,16,1980-05-08,2,-86.1660006,46.6633011,"HURRICANE RIVER NR GRAND MARAIS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","HURRICANE RIVER NR GRAND MARAIS, MI","Stream","",4020201
"33","USGS-04044786",35.5,70,1980-05-08,2,-86.0171106,46.6674773,"SABLE CREEK NR GRAND MARAIS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SABLE CREEK NR GRAND MARAIS, MI","Stream","",4020201
"34","USGS-04045500",16.991452991453,280,1993-07-15,117,-85.2695548,46.5750148,"TAHQUAMENON RIVER NEAR PARADISE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","TAHQUAMENON RIVER NEAR PARADISE, MI","Stream","",4020202
"35","USGS-04045580",4.5,51,1992-07-08,54,-84.4214323,46.4914111,"ST MARYS RIVER ABOVE SAULT STE MARIE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ST MARYS RIVER ABOVE SAULT STE MARIE, MI","Stream","",4020300
"36","USGS-04045581",5200,5500,1993-09-14,2,-84.3483726,46.4939108,"COURT STREET STORMSEWER AT SAULT STE. MARIE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Wisconsin Water Science Center","USGS-WI","COURT STREET STORMSEWER AT SAULT STE. MARIE, MI","Facility: Storm sewer","",4070001
"37","USGS-04057004",10.75,46,1986-08-12,84,-86.2431974,45.971639,"MANISTIQUE RIVER ABOVE MANISTIQUE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MANISTIQUE RIVER ABOVE MANISTIQUE, MI","Stream","",4060106
"38","USGS-04057005",14.8571428571429,30,1975-08-19,7,-86.2484744,45.9516396,"MANISTIQUE RIVER AT MANISTIQUE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MANISTIQUE RIVER AT MANISTIQUE, MI","Stream","",4060106
"39","USGS-04059000",16.6590909090909,620,1994-09-08,132,-87.2137482,45.9085727,"ESCANABA RIVER AT CORNELL, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ESCANABA RIVER AT CORNELL, MI","Stream","",4030110
"40","USGS-04059500",29.4102564102564,670,1993-07-26,117,-87.2020793,45.7549674,"FORD RIVER NEAR HYDE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","FORD RIVER NEAR HYDE, MI","Stream","",4030109
"41","USGS-04095995",495,740,2003-09-02,2,-86.4750183,41.8731003,"E BRANCH GALIEN RIVER AT GARDNER RD NR GLENDORA,MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","E BRANCH GALIEN RIVER AT GARDNER RD NR GLENDORA,MI","Stream","",4040001
"42","USGS-04096015",6930,13000,2003-09-02,2,-86.5750216,41.8736544,"GALIEN RIVER NEAR SAWYER, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","GALIEN RIVER NEAR SAWYER, MI","Stream","",4040001
"43","USGS-04101500",2311.69892473118,17000,2011-08-24,93,-86.2597325,41.8292138,"ST. JOSEPH RIVER AT NILES, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ST. JOSEPH RIVER AT NILES, MI","Stream","",4050001
"44","USGS-04101501",360,360,2003-08-18,1,-86.2597325,41.8292138,"ST. JOSEPH RIVER AT NILES, MI (AUXILIARY)",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ST. JOSEPH RIVER AT NILES, MI (AUXILIARY)","Stream","",4050001
"45","USGS-04101560",65,65,1975-08-21,1,-85.8386166,42.0833763,"CEDAR LAKE NR MARCELLUS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","CEDAR LAKE NR MARCELLUS, MI","Lake, Reservoir, Impoundment","",4050001
"46","USGS-04101569",80,80,1974-09-10,1,-85.8622283,42.0719878,"GRAVEL LAKE NEAR MARCELLUS, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","GRAVEL LAKE NEAR MARCELLUS, MI","Lake, Reservoir, Impoundment","",4050001
"47","USGS-04102191",10,10,1972-06-21,1,-85.8827916,42.2325389,"ACKLEY LAKE AT OUTLET NEAR PAW PAW, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ACKLEY LAKE AT OUTLET NEAR PAW PAW, MI","Lake, Reservoir, Impoundment","",4050001
"48","USGS-04102192",132.857142857143,690,1972-06-21,7,-85.8861251,42.2350388,"SOUTH BRANCH PAW PAW RIVER AT PAW PAW, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SOUTH BRANCH PAW PAW RIVER AT PAW PAW, MI","Stream","",4050001
"49","USGS-04102324",150,150,2003-08-18,1,-85.9683518,42.2586493,"PAW PAW RIVER AT 44TH AVENUE NEAR PAW PAW, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PAW PAW RIVER AT 44TH AVENUE NEAR PAW PAW, MI","Stream","",4050001
"50","USGS-04102414",3.66666666666667,5,1975-08-20,3,-86.1905783,42.2500368,"VAN AUKEN LK NR MC DONALD, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","VAN AUKEN LK NR MC DONALD, MI","Lake, Reservoir, Impoundment","",4050001
"51","USGS-04102500",167.6,410,2011-10-04,5,-86.3689124,42.1864268,"PAW PAW RIVER AT RIVERSIDE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PAW PAW RIVER AT RIVERSIDE, MI","Stream","",4050001
"52","USGS-04102521",330,330,2003-08-19,1,-86.455023,42.125595,"PAW PAW RIVER AT BENTON HARBOR, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PAW PAW RIVER AT BENTON HARBOR, MI","Stream","",4050001
"53","USGS-04102611",44,50,1974-09-10,3,-86.0755812,42.3772563,"NORTH LAKE NEAR GRAND JUNCTION, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","NORTH LAKE NEAR GRAND JUNCTION, MI","Lake, Reservoir, Impoundment","",4050002
"54","USGS-04108500",58.4090909090909,530,1994-10-06,44,-85.9841986,42.5936408,"KALAMAZOO RIVER NEAR FENNVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","KALAMAZOO RIVER NEAR FENNVILLE, MI","Stream","",4050003
"55","USGS-04108690",213.195402298851,5700,1986-09-11,87,-86.1980934,42.6472473,"KALAMAZOO RIVER AT SAUGATUCK, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","KALAMAZOO RIVER AT SAUGATUCK, MI","Stream","",4050003
"56","USGS-04119300",603.137931034483,5200,1994-10-07,87,-85.9558771,43.0147449,"GRAND RIVER AT EASTMANVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","GRAND RIVER AT EASTMANVILLE, MI","Stream","",4050006
"57","USGS-04119400",178,310,2011-08-02,5,-86.0264354,43.0241884,"GRAND RIVER NEAR EASTMANVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","GRAND RIVER NEAR EASTMANVILLE, MI","Stream","",4050006
"58","USGS-04121970",50,50,2011-04-06,1,-85.6653239,43.4347456,"MUSKEGON RIVER NEAR CROTON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MUSKEGON RIVER NEAR CROTON, MI","Stream","",4060102
"59","USGS-04122030",143.92380952381,2500,1990-06-27,105,-86.0364445,43.3180728,"MUSKEGON RIVER AT MAPLE ISLAND RD NR BRIDGETON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MUSKEGON RIVER AT MAPLE ISLAND RD NR BRIDGETON, MI","Stream","",4060102
"60","USGS-04122080",852.75,3200,1974-07-10,4,-86.2025588,43.2719593,"MUSKEGON RIVER AT US HWY 31 NEAR MUSKEGON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MUSKEGON RIVER AT US HWY 31 NEAR MUSKEGON, MI","Stream","",4060102
"61","USGS-04126520",2716.55629139073,190000,1994-08-12,151,-86.319253,44.2505584,"MANISTEE R AT MANISTEE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","MANISTEE R AT MANISTEE, MI","Stream","",4060103
"62","USGS-04126755",11,11,1979-08-14,1,-86.1189824,44.7108319,"PLATTE RIVER AT STATE HIGHWAY M-22 NEAR HONOR, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PLATTE RIVER AT STATE HIGHWAY M-22 NEAR HONOR, MI","Stream","",4060104
"63","USGS-04126758",8,8,1979-08-14,1,-86.1367609,44.7199983,"PLATTE RIVER AT WEIR ON LOON LAKE NR HONOR, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PLATTE RIVER AT WEIR ON LOON LAKE NR HONOR, MI","Stream","",4060104
"64","USGS-04126765",1,1,1979-08-15,1,-86.0609258,44.7422208,"OTTER CREEK AT OTTER LAKE NEAR EMPIRE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","OTTER CREEK AT OTTER LAKE NEAR EMPIRE, MI","Stream","",4060104
"65","USGS-04126767",110,110,1979-08-15,1,-86.073982,44.7616648,"OTTER CREEK AT ARAL ROAD NEAR EMPIRE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","OTTER CREEK AT ARAL ROAD NEAR EMPIRE, MI","Stream","",4060104
"66","USGS-04126802",33,33,1979-08-16,1,-85.9623135,44.9033291,"CRYSTAL RIVER AT COUNTY HWY 675 NR GLEN ARBOR, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","CRYSTAL RIVER AT COUNTY HWY 675 NR GLEN ARBOR, MI","Stream","",4060104
"67","USGS-04126810",11,11,1979-08-16,1,-85.885367,44.946663,"SHALDA CREEK AT LAKE MICHIGAN RD NR GLEN ARBOR, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SHALDA CREEK AT LAKE MICHIGAN RD NR GLEN ARBOR, MI","Stream","",4060104
"68","USGS-04132052",67.9252336448598,1100,1986-09-23,107,-84.4811465,45.6339007,"CHEBOYGAN R (POND) AT LINCOLN AVE AT CHEBOYGAN, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","CHEBOYGAN R (POND) AT LINCOLN AVE AT CHEBOYGAN, MI","Stream","",4070004
"69","USGS-04135000",78.3670886075949,4800,1993-08-12,79,-83.4999781,45.0939014,"THUNDER BAY RIVER NEAR ALPENA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","THUNDER BAY RIVER NEAR ALPENA, MI","Stream","",4070006
"70","USGS-04135020",13.25,40,1979-09-13,8,-83.4377532,45.0708461,"THUNDER BAY RIVER AT ALPENA, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","THUNDER BAY RIVER AT ALPENA, MI","Stream","",4070006
"71","USGS-04137500",8.89230769230769,260,2011-09-13,65,-83.4338609,44.4364045,"AU SABLE RIVER NEAR AU SABLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","AU SABLE RIVER NEAR AU SABLE, MI","Stream","",4070007
"72","USGS-04142000",169.114754098361,4900,1992-08-12,122,-84.0199939,44.0725203,"RIFLE RIVER NEAR STERLING, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","RIFLE RIVER NEAR STERLING, MI","Stream","",4080101
"73","USGS-04143830",635,980,2003-09-09,2,-83.6477262,42.7991949,"SHIAWASSEE RIVER AT FISH LAKE RD AT HOLLY, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SHIAWASSEE RIVER AT FISH LAKE RD AT HOLLY, MI","Stream","",4080203
"74","USGS-04148035",1096.42857142857,3200,2006-08-23,7,-83.4463336,42.8522506,"KEARSLEY CREEK AT MILL STREET AT ORTONVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","KEARSLEY CREEK AT MILL STREET AT ORTONVILLE, MI","Stream","",4080204
"75","USGS-04156100",770.74,12000,1995-08-09,50,-84.1935971,43.5686379,"TITTABAWASSEE RIVER NR MIDLAND, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","TITTABAWASSEE RIVER NR MIDLAND, MI","Stream","",4080201
"76","USGS-04157000",783.302325581395,21000,2011-09-14,172,-83.9630294,43.4128034,"SAGINAW RIVER AT SAGINAW, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","SAGINAW RIVER AT SAGINAW, MI","Stream","",4080206
"77","USGS-04158495",178,420,2004-11-03,4,-83.2193958,43.7455712,"PIGEON RIVER AT MAXWELL ROAD NEAR RESCUE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PIGEON RIVER AT MAXWELL ROAD NEAR RESCUE, MI","Stream","",4080103
"78","USGS-04159000",924.5,2140,2004-11-03,4,-83.279122,43.814182,"PIGEON RIVER NEAR PIGEON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PIGEON RIVER NEAR PIGEON, MI","Stream","",4080103
"79","USGS-04159010",655.48275862069,18000,2004-11-03,87,-83.2416231,43.9394586,"PIGEON RIVER NEAR CASEVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PIGEON RIVER NEAR CASEVILLE, MI","Stream","",4080103
"80","USGS-041590107",154.5,536,2004-11-03,4,-83.2727359,43.9439031,"PIGEON RIVER AT CASEVILLE, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PIGEON RIVER AT CASEVILLE, MI","Stream","",4080103
"81","USGS-041590114",128.5,330,2004-11-03,4,-83.1407827,43.7925151,"PINNEBOG RIVER AT MOORE ROAD NEAR ELKTON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PINNEBOG RIVER AT MOORE ROAD NEAR ELKTON, MI","Stream","",4080103
"82","USGS-041590117",263.5,845,2004-11-03,4,-83.1735625,43.8333482,"PINNEBOG RIVER AT RICHARDSON ROAD NR ELKTON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PINNEBOG RIVER AT RICHARDSON ROAD NR ELKTON, MI","Stream","",4080103
"83","USGS-04159045",742,2700,2004-11-03,4,-83.1255066,43.92057,"PINNEBOG RIVER AT LIMERICK RD NEAR PINNEBOG, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PINNEBOG RIVER AT LIMERICK RD NEAR PINNEBOG, MI","Stream","",4080103
"84","USGS-04159064",141.75,280,2004-11-03,4,-83.0666165,43.9986252,"PINNEBOG RIVER NEAR PORT CRESCENT, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","PINNEBOG RIVER NEAR PORT CRESCENT, MI","Stream","",4080103
"85","USGS-04159130",4.52542372881356,70,1992-09-22,59,-82.4246369,42.9869743,"ST. CLAIR RIVER AT PORT HURON, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","ST. CLAIR RIVER AT PORT HURON, MI","Stream","",4090001
"86","USGS-04159492",929.68,15000,1998-02-27,25,-82.6246474,43.15086,"BLACK RIVER NEAR JEDDO, MI",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"USGS Michigan Water Science Center","USGS-MI","BLACK RIVER NEAR JEDDO, MI","Stream","",4090001
