"","MonitoringLocationIdentifier","Avg","Max","LatestSample","totalSamples","X","Y","Name","description","timestamp","begin","end","altitudeMode","tessellate","extrude","visibility","drawOrder","icon","Organization_Formal_Name","Organization_Identifier","Monitoring_Location_Name","Monitoring_Location_Type_Name","Monitoring_Location_Description_Text","HUC_Eight_Digit_Code"
"35","BMIC_WQX-SUGIS",36.1333333333333,59.1,2013-06-13,9,-84.216153,46.381761,"Sugar Island",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Sugar Island","Great Lake","St. Mary's River is sampled above Sugar Island Lands in the middle of the shipping channel.   This site is located downstream from a bi-national Area of Concern.",4070001
"36","BMIC_WQX-WET1",1240.32384615385,2419.9,2013-06-12,13,-84.611531,46.430236,"Wetland 1",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Wetland 1","Wetland Palustrine-Shrub-Scrub","Wetland 1 is part of the Bay Mills Wetland Preserve and is sampled in a slow flowing spring near an old dump site.",4070001
"37","BMIC_WQX-WET2",133.63,187.2,2011-06-15,3,-84.611092,46.43004,"Wetland 2",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Wetland 2","Wetland Palustrine-Emergent","Wetland 2 is part of the Bay Mills Wetland Preserve and is sampled in a intermittently wet area that is used by recreational ORVs.",4070001
"38","BMIC_WQX-WET3",687.228333333333,1299.7,2012-06-18,6,-84.603977,46.448631,"Wetland 3",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Wetland 3","Wetland Palustrine-Forested","Wetland 3 is part of the Bay Mills Wetland Preserve and is sampled due to its convenient location and water level.  The water level in wetland 3 is the highest of the 3 wetland sites.",4070001
"39","BMIC_WQX-WHARF1",2059.7675,2419.6,2014-06-10,4,-84.603125,46.424392,"Wharf 1",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Wharf 1","Great Lake","Boat docking area in need of shoreline restoration.",4070001
"40","BMIC_WQX-WHARF2",1413.6,1413.6,2013-09-05,1,-84.602744,46.425192,"Wharf 2",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Wharf 2","Great Lake","Boat docking area in need of shoreline restoration.",4070001
"41","BMIC_WQX-WR",1148.89,2419.6,2014-09-09,14,-84.571591,46.41134,"Waishkey River",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River","River/Stream","The Waishkey River is a 5th order stream that is the largest inlet to Back Bay.  The river and its tributaries run through mostly argricultural and forested land.",4070001
"42","BMIC_WQX-WR1B",866.4,866.4,2014-08-28,1,-84.543022,46.378946,"Waishkey River 1B",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 1B","River/Stream","Waishkey River sampled just upstream of a tributary that may drain a private sewage lagoon.  Sampled just downstream of WR1a.",4070001
"43","BMIC_WQX-WR1C",322.3,322.3,2014-08-28,1,-84.542984,46.379342,"Waishkey River 1C",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 1C","River/Stream","Waishkey River sampled directly downstream of WR1b and a tributary that may drain a private sewage lagoon.",4070001
"44","BMIC_WQX-WR2A",957,1553.1,2014-09-09,2,-84.555379,46.402956,"Waishkey River 2A",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 2A","River/Stream","Waishkey River Sampled directly upstream of confluence with Orrus Creek.",4070001
"45","BMIC_WQX-WR2B",461.1,461.1,2014-06-02,1,-84.557991,46.405008,"Waishkey River 2B",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 2B","River/Stream","Waishkey River Sampled directly downstream of confluence with Orrus Creek.",4070001
"46","BMIC_WQX-WR3",686.7,686.7,2014-08-28,1,-84.525968,46.402148,"Waishkey River 3",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 3","River/Stream","East Branch of the Waishkey River sampled directly upstream to the confluence with the West Branch of the Waishkey River.",4070001
"47","BMIC_WQX-WR4",579.4,579.4,2014-08-28,1,-84.52783,46.401412,"Waishkey River 4",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 4","River/Stream","West Branch of the Waishkey River sampled directly upstream to the confluence with the East Branch of the Waishkey River.",4070001
"48","BMIC_WQX-WR6",619.25,691,2014-10-21,2,-84.437896,46.346012,"Waishkey River 6",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 6","River/Stream","Headwaters of the South Branch of the East Branch of the WR, sampled at 11 Mile Rd.",4070001
"49","BMIC_WQX-WR8",135.5,135.5,2014-10-21,1,-84.551656,46.373517,"Waishkey River 8",NA,NA,NA,NA,NA,-1,-1,-1,NA,NA,"Bay Mills Indian Community","BMIC_WQX","Waishkey River 8","River/Stream","Confluence of Besseau Creek and South Branch of Besseau Creek; Sampled at S. Bound Rd.",4070001
