OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ActivityLocation/SourceMapScaleNumeric,ActivityLocation/HorizontalAccuracyMeasure/MeasureValue,ActivityLocation/HorizontalAccuracyMeasure/MeasureUnitCode,ActivityLocation/HorizontalCollectionMethodName,ActivityLocation/HorizontalCoordinateReferenceSystemDatumName,AssemblageSampledName,CollectionDuration/MeasureValue,CollectionDuration/MeasureUnitCode,SamplingComponentName,SamplingComponentPlaceInSeriesNumeric,ReachLengthMeasure/MeasureValue,ReachLengthMeasure/MeasureUnitCode,ReachWidthMeasure/MeasureValue,ReachWidthMeasure/MeasureUnitCode,PassCount,NetTypeName,NetSurfaceAreaMeasure/MeasureValue,NetSurfaceAreaMeasure/MeasureUnitCode,NetMeshSizeMeasure/MeasureValue,NetMeshSizeMeasure/MeasureUnitCode,BoatSpeedMeasure/MeasureValue,BoatSpeedMeasure/MeasureUnitCode,CurrentSpeedMeasure/MeasureValue,CurrentSpeedMeasure/MeasureUnitCode,ToxicityTestType,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,SamplePreparationMethod/MethodIdentifier,SamplePreparationMethod/MethodIdentifierContext,SamplePreparationMethod/MethodName,SamplePreparationMethod/MethodQualifierTypeName,SamplePreparationMethod/MethodDescriptionText,SampleContainerTypeName,SampleContainerColorName,ChemicalPreservativeUsedName,ThermalPreservativeUsedName,SampleTransportStorageDescription,DataLoggerLine,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,DataQuality/BiasValue,ConfidenceIntervalValue,UpperConfidenceLimitValue,LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,ResultSamplingPointName,BiologicalIntentName,BiologicalIndividualIdentifier,SubjectTaxonomicName,UnidentifiedSpeciesIdentifier,SampleTissueAnatomyName,GroupSummaryCountWeight/MeasureValue,GroupSummaryCountWeight/MeasureUnitCode,CellFormName,CellShapeName,HabitName,VoltismName,TaxonomicPollutionTolerance,TaxonomicPollutionToleranceScaleText,TrophicLevelName,FunctionalFeedingGroupName,TaxonomicDetailsCitation/ResourceTitleName,TaxonomicDetailsCitation/ResourceCreatorName,TaxonomicDetailsCitation/ResourceSubjectText,TaxonomicDetailsCitation/ResourcePublisherName,TaxonomicDetailsCitation/ResourceDate,TaxonomicDetailsCitation/ResourceIdentifier,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,AnalysisStartTime/TimeZoneCode,AnalysisEndDate,AnalysisEndTime/Time,AnalysisEndTime/TimeZoneCode,ResultLaboratoryCommentCode,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LaboratoryAccreditationIndicator,LaboratoryAccreditationAuthorityName,TaxonomistAccreditationIndicator,TaxonomistAccreditationAuthorityName,LabSamplePreparationMethod/MethodIdentifier,LabSamplePreparationMethod/MethodIdentifierContext,LabSamplePreparationMethod/MethodName,LabSamplePreparationMethod/MethodQualifierTypeName,LabSamplePreparationMethod/MethodDescriptionText,PreparationStartDate,PreparationStartTime/Time,PreparationStartTime/TimeZoneCode,PreparationEndDate,PreparationEndTime/Time,PreparationEndTime/TimeZoneCode,SubstitutionDilutionFactorNumeric,ProviderName
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_209110gS,Sample-Routine,Water,,2010-09-01,19:20:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,920.8,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-BP_3082510S,Sample-Routine,Water,,2010-08-25,10:30:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-BP_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,2419.6,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-BP_209110eS,Sample-Routine,Water,,2010-09-01,11:10:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-BP_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,1732.9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_208210aS,Sample-Routine,Water,,2010-08-02,13:40:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,2419.6,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_1052511S,Sample-Routine,Water,,2011-05-25,09:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,27.9,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_1052511S,Sample-Routine,Water,,2011-05-25,09:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,21.6,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_3081111S,Sample-Routine,Water,,2011-08-11,12:30:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,248.1,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM_2081711S,Sample-Routine,Water,,2011-08-17,11:30:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-GUM_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,167,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-CLUBBL911Sa,Sample-Routine,Water,,2011-09-13,12:00:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-CLUBBL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,Present Above Quantification Limit,,Total Coliform,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-WET1611Sb,Quality Control Sample-Field Replicate,Water,,2011-06-15,10:33:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-WET1,"Coliform count- 367.1, E.cole count- 80.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,410.6,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-WR609Sa,Sample-Routine,Water,,2009-06-23,10:06:00,EST,,,,,0,m,,,,,,BMSWQ,,BMIC_WQX-WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Water Bottle,,,,,,,,,,,,,,,Total Coliform,Total,238.2,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2009-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
BMIC_WQX,Bay Mills Indian Community,BMIC_WQX-GUM3073113Ec,Field Msr/Obs,Water,,2013-07-31,08:55:00,EST,,,,,0.5,m,,,,,,BMBEACH,,BMIC_WQX-GUM3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMIC_SCP,BMIC_WQX,Standard Bay Mills SCP Method,,Standard Sample Collection Method for the Bay Mills Indian Community,Probe/Sensor,,,,,,,,,,,,,,,Total Coliform,Total,387.3,cfu/100ml,,Final,,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLILERT-18,IDEXX,Coliform/E. coli Enzyme substrate test; ONPG-MUG test,0,https://www.nemi.gov/methods/method_summary/5585/,,2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,STORET
