OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900003,Sample-Routine,Water,Surface Water,1959-04-01,,,,,,,,,,,,,,,USGS-04143950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,9.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96100031,Sample-Routine,Water,Surface Water,1961-08-22,,,,,,,,,,,,,,,USGS-04143950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,16.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96200034,Sample-Routine,Water,Surface Water,1962-02-02,,,,,,,,,,,,,,,USGS-04143950,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,19.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95700001,Sample-Routine,Water,Surface Water,1957-06-03,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,11.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400005,Sample-Routine,Water,Surface Water,1954-03-27,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,8.5,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400004,Sample-Routine,Water,Surface Water,1953-12-15,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,16.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95600001,Sample-Routine,Water,Surface Water,1956-09-06,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,16.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700194,Sample-Routine,Water,Surface Water,1967-08-07,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,20.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700193,Sample-Routine,Water,Surface Water,1967-04-19,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,17.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900005,Sample-Routine,Water,Surface Water,1959-04-02,,,,,,,,,,,,,,,USGS-04147500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,7.5,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400006,Sample-Routine,Water,Surface Water,1953-12-15,13:50:00,EST,,,,,,,,,,,,,USGS-04147990,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,6.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400008,Sample-Routine,Water,Surface Water,1954-03-26,13:45:00,EST,,,,,,,,,,,,,USGS-04147990,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,6.8,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400009,Sample-Routine,Water,Surface Water,1953-12-15,15:55:00,EST,,,,,,,,,,,,,USGS-04148139,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,70.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400010,Sample-Routine,Water,Surface Water,1954-03-26,10:45:00,EST,,,,,,,,,,,,,USGS-04148139,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,11.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700197,Sample-Routine,Water,Surface Water,1967-08-07,,,,,,,,,,,,,,,USGS-04148140,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,30.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700196,Sample-Routine,Water,Surface Water,1967-03-27,,,,,,,,,,,,,,,USGS-04148140,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,22.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400011,Sample-Routine,Water,Surface Water,1953-12-15,15:10:00,EST,,,,,,,,,,,,,USGS-04148142,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,14.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900006,Sample-Routine,Water,Surface Water,1959-04-02,17:00:00,EST,,,,,,,,,,,,,USGS-04148142,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,16.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400012,Sample-Routine,Water,Surface Water,1954-03-26,12:15:00,EST,,,,,,,,,,,,,USGS-04148142,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,11.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400015,Sample-Routine,Water,Surface Water,1953-12-15,,,,,,,,,,,,,,,USGS-04148270,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,64.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400016,Sample-Routine,Water,Surface Water,1954-03-26,,,,,,,,,,,,,,,USGS-04148270,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,11.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400018,Sample-Routine,Water,Surface Water,1954-03-27,10:20:00,EST,,,,,,,,,,,,,USGS-04148300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,10.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900008,Sample-Routine,Water,Surface Water,1959-04-01,,,,,,,,,,,,,,,USGS-04148300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,22.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400017,Sample-Routine,Water,Surface Water,1953-12-15,11:00:00,EST,,,,,,,,,,,,,USGS-04148300,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,21.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400013,Sample-Routine,Water,Surface Water,1953-12-15,12:10:00,EST,,,,,,,,,,,,,USGS-04148450,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,12.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400014,Sample-Routine,Water,Surface Water,1954-03-26,15:15:00,EST,,,,,,,,,,,,,USGS-04148450,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,12.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900007,Sample-Routine,Water,Surface Water,1959-04-01,,,,,,,,,,,,,,,USGS-04148450,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,26.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400019,Sample-Routine,Water,Surface Water,1953-12-15,14:45:00,EST,,,,,,,,,,,,,USGS-04148500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,28.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400022,Sample-Routine,Water,Surface Water,1954-03-27,13:00:00,EST,,,,,,,,,,,,,USGS-04148500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,14.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700205,Sample-Routine,Water,Surface Water,1967-08-06,,,,,,,,,,,,,,,USGS-04148500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,94.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95900010,Sample-Routine,Water,Surface Water,1959-04-02,,,,,,,,,,,,,,,USGS-04148500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,20.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96700204,Sample-Routine,Water,Surface Water,1967-04-18,14:50:00,EST,,,,,,,,,,,,,USGS-04148500,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,24.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700115,Sample-Routine,Water,Groundwater,1987-06-02,09:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-424841083465301,,Sand and Gravel,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,29.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700116,Sample-Routine,Water,Groundwater,1987-06-02,10:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-424848083470701,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,13.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98600522,Sample-Routine,Water,Groundwater,1986-08-28,14:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-425541083373001,,Marshall Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,150,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97501105,Sample-Routine,Water,Groundwater,1975-06-23,12:30:00,EDT,,,,,,,,,,,,,USGS-425552083382801,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,1.7,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98500478,Sample-Routine,Water,Groundwater,1984-11-30,12:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-425552083382801,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,3.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700117,Sample-Routine,Water,Groundwater,1987-06-02,11:30:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-425556083315301,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,22.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98800195,Sample-Routine,Water,Groundwater,1988-06-15,11:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-430103083490301,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,110,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,CL031,USGS,"Chloride, wf, ASF thiocyanate","USGS TWRI 5-A1/1989, p 151",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98600573,Sample-Routine,Water,Groundwater,1986-08-14,13:00:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-430141083302801,,Michigan Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,130,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95500025,Sample-Routine,Water,Groundwater,1955-03-11,,,,,,,,,,,,,,,USGS-430402083495301,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,460,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400047,Sample-Routine,Water,Groundwater,1954-09-27,,,,,,,,,,,,,,,USGS-430402083495301,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,425,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400046,Sample-Routine,Water,Groundwater,1954-03-11,,,,,,,,,,,,,,,USGS-430402083495301,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,260,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95300037,Sample-Routine,Water,Groundwater,1953-03-27,,,,,,,,,,,,,,,USGS-430420083493001,,Pleistocene Series,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,19.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95300038,Sample-Routine,Water,Groundwater,1953-03-29,,,,,,,,,,,,,,,USGS-430420083493001,,Pleistocene Series,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,21.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400052,Sample-Routine,Water,Groundwater,1954-03-11,,,,,,,,,,,,,,,USGS-430530083420801,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,328,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.98700118,Sample-Routine,Water,Groundwater,1987-06-03,12:20:00,EDT,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-430540083332001,,Sand and Gravel,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,10.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,ADF02,USGS,"Chloride, wf, AD thiocyanate","USGS TWRI 5-A1/1989, p 155",,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.96900398,Sample-Routine,Water,Groundwater,1969-09-30,,,,,,,,,,,,,,,USGS-430621083513701,,Pleistocene Series,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,26.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95500031,Sample-Routine,Water,Groundwater,1955-03-10,,,,,,,,,,,,,,,USGS-430627083414201,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,4.2,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400053,Sample-Routine,Water,Groundwater,1954-03-11,,,,,,,,,,,,,,,USGS-430627083414201,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,3.1,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.95400054,Sample-Routine,Water,Groundwater,1954-09-16,,,,,,,,,,,,,,,USGS-430627083414201,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,14.0,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97300639,Sample-Routine,Water,Groundwater,1973-05-14,,,,,,,,,,,,,,,USGS-430702083544601,,Saginaw Formation,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,154,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.97300640,Sample-Routine,Water,Groundwater,1973-05-14,,,,,,,,,,,,,,,USGS-430704083542201,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,1250,mg/l,,Historical,,Actual,,,,,,,00940,,,,,,,,,,,,,,,,,NWIS
