X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Organization_Formal_Name,Organization_Identifier,Monitoring_Location_Identifier,Monitoring_Location_Name,Monitoring_Location_Type_Name,Monitoring_Location_Description_Text,HUC_Eight_Digit_Code
-83.7673878,42.8202867,"SHIAWASSEE RIVER AT RIPLEY ROAD.; VILLAGE OF LINDEN",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250112,"SHIAWASSEE RIVER AT RIPLEY ROAD.; VILLAGE OF LINDEN",River/Stream,"SHIAWASSEE RIVER AT RIPLEY ROAD.; VILLAGE OF LINDEN",04080203
-83.7826674,42.8163987,SHIAWASSEE RIVER AT BRIDGE ROAD IN LINDEN,,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250113,SHIAWASSEE RIVER AT BRIDGE ROAD IN LINDEN,River/Stream,SHIAWASSEE RIVER AT BRIDGE ROAD IN LINDEN,04080203
-83.7823884,42.8158427,"SHIAWASSEE RIVER AT HOGAN ROAD.; FENTON TOWNSHIP., SEC 19",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250114,"SHIAWASSEE RIVER AT HOGAN ROAD.; FENTON TOWNSHIP., SEC 19",River/Stream,"SHIAWASSEE RIVER AT HOGAN ROAD.; FENTON TOWNSHIP., SEC 19",04080203
-83.8354472,42.8116758,"SHIAWASSEE RIVER AT COLE ROAD.; ARGENTINE TOWNSHIP, SEC 23",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250115,"SHIAWASSEE RIVER AT COLE ROAD.; ARGENTINE TOWNSHIP, SEC 23",River/Stream,"SHIAWASSEE RIVER AT COLE ROAD.; ARGENTINE TOWNSHIP, SEC 23",04080203
-83.8398923,42.8044538,"SHIAWASSEE RIVER AT MCCASLIN ROAD;ARGENTINE TOWNSHIP SEC27",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250116,"SHIAWASSEE RIVER AT MCCASLIN ROAD;ARGENTINE TOWNSHIP SEC27",River/Stream,"SHIAWASSEE RIVER AT MCCASLIN ROAD;ARGENTINE TOWNSHIP SEC27",04080203
-83.8748935,42.8091758,"SHIAWASSEE RIVER AT BIRD ROAD.; ARGENTINE TOWNSHIP, SEC 28",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250117,"SHIAWASSEE RIVER AT BIRD ROAD.; ARGENTINE TOWNSHIP, SEC 28",River/Stream,"SHIAWASSEE RIVER AT BIRD ROAD.; ARGENTINE TOWNSHIP, SEC 28",04080203
-83.8954482,42.8166758,"SHIAWASSEE RIVER AT DUFFIELD ROAD; ARGENTINE TOWNSHIP SEC20",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250118,"SHIAWASSEE RIVER AT DUFFIELD ROAD; ARGENTINE TOWNSHIP SEC20",River/Stream,"SHIAWASSEE RIVER AT DUFFIELD ROAD; ARGENTINE TOWNSHIP SEC20",04080203
-83.9201711,42.8166758,"SHIAWASSEE RIVER AT MEIER ROAD.; ARGENTINE TOWNSHIP SEC 19",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250119,"SHIAWASSEE RIVER AT MEIER ROAD.; ARGENTINE TOWNSHIP SEC 19",River/Stream,"SHIAWASSEE RIVER AT MEIER ROAD.; ARGENTINE TOWNSHIP SEC 19",04080203
-83.8537798,42.8022319,"ORE CR AT MCCASLIN LAKE ROAD.; ARGENTINE TOWNSHIP, SEC 27",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250159,"ORE CR AT MCCASLIN LAKE ROAD.; ARGENTINE TOWNSHIP, SEC 27",River/Stream,"ORE CR AT MCCASLIN LAKE ROAD.; ARGENTINE TOWNSHIP, SEC 27",04080203
-83.8179456,42.8116758,"SHIAW. RIVER AT SILVER L.RD FARM; ARGENTINE TOWNSHIP SEC24",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250160,"SHIAW. RIVER AT SILVER L.RD FARM; ARGENTINE TOWNSHIP SEC24",River/Stream,"SHIAW. RIVER AT SILVER L.RD FARM; ARGENTINE TOWNSHIP SEC24",04080203
-83.666552,43.0522302,"KEARSLEY CREEK NEAR PIERSON ROAD; GENESEE TOWNSHIP SEC 32",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250161,"KEARSLEY CREEK NEAR PIERSON ROAD; GENESEE TOWNSHIP SEC 32",River/Stream,"KEARSLEY CREEK NEAR PIERSON ROAD; GENESEE TOWNSHIP SEC 32",04080204
-83.6690511,43.0430632,"FLINT RIVER AT LEITH ROAD BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250162,"FLINT RIVER AT LEITH ROAD BRIDGE; CITY OF FLINT",River/Stream,"FLINT RIVER AT LEITH ROAD BRIDGE; CITY OF FLINT",04080204
-83.6871077,43.0238973,FLINT RIVER AT ROBERT T. LONGWA. ST. IN FLINT,,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250164,FLINT RIVER AT ROBERT T. LONGWA. ST. IN FLINT,River/Stream,FLINT RIVER AT ROBERT T. LONGWA. ST. IN FLINT,04080204
-83.6923869,43.0200074,"FLINT RIVER AT HARRISON STREET; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250165,"FLINT RIVER AT HARRISON STREET; CITY OF FLINT",River/Stream,"FLINT RIVER AT HARRISON STREET; CITY OF FLINT",04080204
-83.7098865,43.0094525,"FLINT RIVER AT CHEVROLET STREET; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250166,"FLINT RIVER AT CHEVROLET STREET; CITY OF FLINT",River/Stream,"FLINT RIVER AT CHEVROLET STREET; CITY OF FLINT",04080204
-83.8640575,43.1869516,"BRENT CREEK AT MCKINLEY ROAD; MONTROSE TOWNSHIP, SEC 15",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250167,"BRENT CREEK AT MCKINLEY ROAD; MONTROSE TOWNSHIP, SEC 15",River/Stream,"BRENT CREEK AT MCKINLEY ROAD; MONTROSE TOWNSHIP, SEC 15",04080204
-83.6159942,43.0502851,"KEARSLEY CREEK AT GENESEE ROAD; GENESEE TOWNSHIP, SEC 34",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250168,"KEARSLEY CREEK AT GENESEE ROAD; GENESEE TOWNSHIP, SEC 34",River/Stream,"KEARSLEY CREEK AT GENESEE ROAD; GENESEE TOWNSHIP, SEC 34",04080204
-83.5957166,43.0405632,"KEARSLEY CREEK AT BELSAY ROAD; BURTON TOWNSHIP, SEC 02",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250169,"KEARSLEY CREEK AT BELSAY ROAD; BURTON TOWNSHIP, SEC 02",River/Stream,"KEARSLEY CREEK AT BELSAY ROAD; BURTON TOWNSHIP, SEC 02",04080204
-83.5815481,43.0338962,"KEARSLEY CREEK AT DAVISON ROAD; BURTON TOWNSHIP, SEC 01",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250170,"KEARSLEY CREEK AT DAVISON ROAD; BURTON TOWNSHIP, SEC 01",River/Stream,"KEARSLEY CREEK AT DAVISON ROAD; BURTON TOWNSHIP, SEC 01",04080204
-83.5554362,43.0097303,"KEARSLEY CREEK AT IRISH ROAD; DAVISON TOWNSHIP, SEC 19",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250171,"KEARSLEY CREEK AT IRISH ROAD; DAVISON TOWNSHIP, SEC 19",River/Stream,"KEARSLEY CREEK AT IRISH ROAD; DAVISON TOWNSHIP, SEC 19",04080204
-83.6382181,42.9897305,"THREAD CREEK AT ATHERTON ROAD; BURTON TOWNSHIP, SEC 21",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250173,"THREAD CREEK AT ATHERTON ROAD; BURTON TOWNSHIP, SEC 21",River/Stream,"THREAD CREEK AT ATHERTON ROAD; BURTON TOWNSHIP, SEC 21",04080204
-83.635439,42.9750086,"THREAD CREEK AT BRISTOL ROAD; BURTON TOWNSHIP, SEC 28",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250174,"THREAD CREEK AT BRISTOL ROAD; BURTON TOWNSHIP, SEC 28",River/Stream,"THREAD CREEK AT BRISTOL ROAD; BURTON TOWNSHIP, SEC 28",04080204
-83.6765514,43.0036195,"THREAD CREEK AT I-475; BURTON TOWNSHIP, SEC 18",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250175,"THREAD CREEK AT I-475; BURTON TOWNSHIP, SEC 18",River/Stream,"THREAD CREEK AT I-475; BURTON TOWNSHIP, SEC 18",04080204
-83.6151613,43.0202853,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC. 10",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250176,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC. 10",River/Stream,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC. 10",04080204
-83.6148833,43.0083414,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC 15",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250177,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC 15",River/Stream,"GILKEY CR. AT GENESEE ROAD.; BURTON TOWNSHIP., SEC 15",04080204
-83.5976597,42.9902855,"GILKEY CR. AT ATHERTON ROAD.; BURTON TOWNSHIP., SEC 23",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250178,"GILKEY CR. AT ATHERTON ROAD.; BURTON TOWNSHIP., SEC 23",River/Stream,"GILKEY CR. AT ATHERTON ROAD.; BURTON TOWNSHIP., SEC 23",04080204
-83.6590518,43.0150084,"GILKEY CR. AT VERNON ROAD.; BURTON TOWNSHIP., SEC. 17",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250179,"GILKEY CR. AT VERNON ROAD.; BURTON TOWNSHIP., SEC. 17",River/Stream,"GILKEY CR. AT VERNON ROAD.; BURTON TOWNSHIP., SEC. 17",04080204
-83.6873868,42.9688977,"CARMAN CR. AT SCHUMACHER ROAD; BURTON TOWNSHIP, SEC 31",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250180,"CARMAN CR. AT SCHUMACHER ROAD; BURTON TOWNSHIP, SEC 31",River/Stream,"CARMAN CR. AT SCHUMACHER ROAD; BURTON TOWNSHIP, SEC 31",04080204
-83.7679436,42.9730637,"W. BR. SWARTZ CR. AT M-121.; FLINT TOWNSHIP., SEC. 28",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250181,"W. BR. SWARTZ CR. AT M-121.; FLINT TOWNSHIP., SEC. 28",River/Stream,"W. BR. SWARTZ CR. AT M-121.; FLINT TOWNSHIP., SEC. 28",04080204
-83.7607213,42.9730637,"SWARTZ CREEK AT BRISTOL ROAD.; FLINT TOWNSHIP., SEC 28",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250182,"SWARTZ CREEK AT BRISTOL ROAD.; FLINT TOWNSHIP., SEC 28",River/Stream,"SWARTZ CREEK AT BRISTOL ROAD.; FLINT TOWNSHIP., SEC 28",04080204
-83.7164151,42.8468155,"FENTON LAKE NORTH CENTRAL BASIN; FENTON TOWNSHIP SEC 11",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250241,"FENTON LAKE NORTH CENTRAL BASIN; FENTON TOWNSHIP SEC 11",Lake,"FENTON LAKE NORTH CENTRAL BASIN; FENTON TOWNSHIP SEC 11",04080203
-83.8326681,42.7916759,"LOBDELL LAKE-WEST BASIN; ARGENTINE TOWNSHIP, SEC 35",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250242,"LOBDELL LAKE-WEST BASIN; ARGENTINE TOWNSHIP, SEC 35",Lake,"LOBDELL LAKE-WEST BASIN; ARGENTINE TOWNSHIP, SEC 35",04080203
-83.7498892,42.8194537,"LAKE PONEMAH IN NORTHWEST BASIN; FENTON TOWNSHIP SEC 21",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250243,"LAKE PONEMAH IN NORTHWEST BASIN; FENTON TOWNSHIP SEC 21",Lake,"LAKE PONEMAH IN NORTHWEST BASIN; FENTON TOWNSHIP SEC 21",04080203
-83.461544,43.039453,"POTTER LAKE-SOUTHWEST BASIN; DAVISON TOWNSHIP, SEC 1",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250244,"POTTER LAKE-SOUTHWEST BASIN; DAVISON TOWNSHIP, SEC 1",Lake,"POTTER LAKE-SOUTHWEST BASIN; DAVISON TOWNSHIP, SEC 1",04080204
-83.7512763,42.8063977,"SILVER LAKE-NORTHWEST BASIN; FENTON TOWNSHIP, SEC 28",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250245,"SILVER LAKE-NORTHWEST BASIN; FENTON TOWNSHIP, SEC 28",Lake,"SILVER LAKE-NORTHWEST BASIN; FENTON TOWNSHIP, SEC 28",04080203
-83.7504433,42.8272316,"SQUAW LAKE IN SOUTH BASIN.; FENTON TOWNSHIP, SEC. 22",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250246,"SQUAW LAKE IN SOUTH BASIN.; FENTON TOWNSHIP, SEC. 22",Lake,"SQUAW LAKE IN SOUTH BASIN.; FENTON TOWNSHIP, SEC. 22",04080203
-83.6173842,43.1072298,"FLINT RIVER AT GENESEE ROAD BRIDGE; GENESEE TOWNSHIP, SEC 10",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250309,"FLINT RIVER AT GENESEE ROAD BRIDGE; GENESEE TOWNSHIP, SEC 10",River/Stream,"FLINT RIVER AT GENESEE ROAD BRIDGE; GENESEE TOWNSHIP, SEC 10",04080204
-83.6726632,43.0469532,"FLINT RIVER AT UTAH DAM; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250312,"FLINT RIVER AT UTAH DAM; CITY OF FLINT",River/Stream,"FLINT RIVER AT UTAH DAM; CITY OF FLINT",04080204
-83.6884968,43.0205634,FLINT RIVER AT JAMES COLE BLVD. BR.-R BANK IN FLINT,,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250313,FLINT RIVER AT JAMES COLE BLVD. BR.-R BANK IN FLINT,River/Stream,FLINT RIVER AT JAMES COLE BLVD. BR.-R BANK IN FLINT,04080204
-83.6890518,43.0200074,FLINT RIVER AT JAMES COLE BLVD. BR.-L BANK IN FLINT,,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250314,FLINT RIVER AT JAMES COLE BLVD. BR.-L BANK IN FLINT,River/Stream,FLINT RIVER AT JAMES COLE BLVD. BR.-L BANK IN FLINT,04080204
-83.7029423,43.0141754,"FLINT RIVER AT STEVENSON STREET BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250315,"FLINT RIVER AT STEVENSON STREET BRIDGE; CITY OF FLINT",River/Stream,"FLINT RIVER AT STEVENSON STREET BRIDGE; CITY OF FLINT",04080204
-83.7201649,43.0105635,"FLINT RIVER AT THIRD AVENUE BRIDGE; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250316,"FLINT RIVER AT THIRD AVENUE BRIDGE; CITY OF FLINT",River/Stream,"FLINT RIVER AT THIRD AVENUE BRIDGE; CITY OF FLINT",04080204
-83.7923893,43.0436193,"FLINT RIVER AT 6363 FLUSHING ROAD; FLINT TOWNSHIP, SEC 05",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250317,"FLINT RIVER AT 6363 FLUSHING ROAD; FLINT TOWNSHIP, SEC 05",River/Stream,"FLINT RIVER AT 6363 FLUSHING ROAD; FLINT TOWNSHIP, SEC 05",04080204
-83.6148832,43.0222303,"E BRANCH GILKEY CR AT GENESEE ROAD.; BURTON TOWNSHIP SEC 10",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250322,"E BRANCH GILKEY CR AT GENESEE ROAD.; BURTON TOWNSHIP SEC 10",River/Stream,"E BRANCH GILKEY CR AT GENESEE ROAD.; BURTON TOWNSHIP SEC 10",04080204
-83.6351609,43.0261193,"GILKEY CREEK AT CENTER ROAD.; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250323,"GILKEY CREEK AT CENTER ROAD.; CITY OF FLINT",River/Stream,"GILKEY CREEK AT CENTER ROAD.; CITY OF FLINT",04080204
-83.6448833,43.0238973,"GILKEY CREEK AT AVERILL ST.; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250324,"GILKEY CREEK AT AVERILL ST.; CITY OF FLINT",River/Stream,"GILKEY CREEK AT AVERILL ST.; CITY OF FLINT",04080204
-83.6521065,43.0236193,"GILKEY CREEK AT KELSO STREET; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250325,"GILKEY CREEK AT KELSO STREET; CITY OF FLINT",River/Stream,"GILKEY CREEK AT KELSO STREET; CITY OF FLINT",04080204
-83.6532186,43.0186203,"GILKEY CREEK AT COMMERCE ST.; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250326,"GILKEY CREEK AT COMMERCE ST.; CITY OF FLINT",River/Stream,"GILKEY CREEK AT COMMERCE ST.; CITY OF FLINT",04080204
-83.6757183,43.0177854,"GILKEY CREEK AT COURT STREET; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250327,"GILKEY CREEK AT COURT STREET; CITY OF FLINT",River/Stream,"GILKEY CREEK AT COURT STREET; CITY OF FLINT",04080204
-83.6709972,43.0272303,"GILKEY CREEK AT KEARSLEY PARK BLVD; CITY OF FLINT",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250328,"GILKEY CREEK AT KEARSLEY PARK BLVD; CITY OF FLINT",River/Stream,"GILKEY CREEK AT KEARSLEY PARK BLVD; CITY OF FLINT",04080204
-83.8462793,42.941954,"W. BR. SWARTZ CR AT HILL ROAD.; GAINES TOWNSHIP, SEC 2",,,,,,-1,-1,-1,,,Michigan Department of Environmental Quality,21MICH,21MICH-250330,"W. BR. SWARTZ CR AT HILL ROAD.; GAINES TOWNSHIP, SEC 2",River/Stream,"W. BR. SWARTZ CR AT HILL ROAD.; GAINES TOWNSHIP, SEC 2",04080204
